Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
GDP (current US$),NY.GDP.MKTP.CD,Naoero,NRU,55572375.53,52533788.56,51133123.13,43542088.25,39742511.24,39969705.97,37458801.21,37331507.28,29664450.93,27328612.61,26930980.34,22613287.54,21017423.61,24778159.58,30587565.8,30070666.07,29200359.39,22766972.19,37602264.73,44176245.55,47562844.61
GDP (current US$),NY.GDP.MKTP.CD,Nepal,NPL,3627560239,3921476085,3401211581,3660041667,4066775510,4401104418,4521580381,4918691917,4856255044,5033642384,5494252208,6007055042,6050875807,6330473097,7273938315,8130258378,9043715356,10325618017,12545438605,12854985464,16002656434
GDP (current US$),NY.GDP.MKTP.CD,Netherlands,NLD,318799003994,327982316124,363497050125,354070495966,379688232232,452967334614,451372549020,417506211882,438612530549,447778514140,417649282154,432536219669,475529972123,582435617082,661224886143,688133699636,737593995289,853499460873,957901566041,878954223140,852464982433
GDP (current US$),NY.GDP.MKTP.CD,New Caledonia,NCL,2529440424,2653780672,2923883281,2822243781,3038728385,3628440505,3606968436,3291131281,3556304833,3647802050,3420032041,3297734891,3740056748,4915353827,5895008978,6238629487,6979155388,8819917180,9067619760,8704438102,9364350077
GDP (current US$),NY.GDP.MKTP.CD,New Zealand,NZL,45495129385,42745329732,41649829860,46775620817,55314732279,63918703507,70140835299,66075143415,56227169851,58762260626,52623281957,53872425917,66627729311,88250885550,103905210084,114720129550,111538810713,137188946866,133437126590,121663439315,146887902524
GDP (current US$),NY.GDP.MKTP.CD,Nicaragua,NIC,1009455484,1488804124,1792800000,1756454248,3863185119,4140470000,4308351903,4389973490,4635347386,4856026259,5109587050,5351752034,5223727303,5322228351,5792932838,6321324279,6763672381,7423375015,8496967597,8298702489,8758602233
GDP (current US$),NY.GDP.MKTP.CD,Niger,NER,3512356508,3285796875,3386232579,3052673849,1938058175,2302537562,2405686940,2290318910,2643363519,2537789821,2241753193,2448714704,2782192879,3394084732,3760443738,4383315965,4756361252,5731485052,7297600226,7352131310,7851192502
GDP (current US$),NY.GDP.MKTP.CD,Nigeria,NGA,54035795388,59526833412,52058181854,56721051402,80399613064,140919776986,185730236700,200850397618,218416200673,59145077039,69171451627,73557840064,95054059303,104738954264,135764731646,175670569969,238454997161,278260846800,339476276258,295008835381,366990417129
GDP (current US$),NY.GDP.MKTP.CD,North Macedonia,MKD,4699646643,4938775510,2436849342,2682456897,3559608640,4707041315,4642021256,3912986091,3765745023,3863619285,3772859034,3709636031,4018365747,4946296599,5682784472,6258602873,6861226972,8336474974,9909552435,9401736825,9407170321
GDP (current US$),NY.GDP.MKTP.CD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,1284000000,1239000000,1210000000,1061000000,990000000,938000000,939000000,795000000,799000000
GDP (current US$),NY.GDP.MKTP.CD,Norway,NOR,119344377526,121149331318,129998873602,119841699440,126324387894,151083627983,162427517132,160013571974,152955958172,161304620987,170620327660,173590978347,195359978957,229192678173,265662977688,311417306946,349773283645,407813774161,472060283688,395664488017,440132138425
GDP (current US$),NY.GDP.MKTP.CD,Oman,OMN,13310273082,12918335501,14183615085,14230429129,14715214564,15722236671,17402080624,18039791938,16044213264,17832769831,22259557867,22205721717,23065539662,24733680104,28378933680,35506892068,42577633290,48300390117,69804681404,55454096229,64993498049
GDP (current US$),NY.GDP.MKTP.CD,Pakistan,PAK,40010423970,45625336680,48884671947,51809999353,52293470813,60636071684,63320170084,62433340468,62191955814,62973857069,99484802345,97145618480,97923302809,112371913741,132216048339,145208562961,161871385506,184140869997,202203748584,187337783856,196709621850
GDP (current US$),NY.GDP.MKTP.CD,Palau,PLW,97702303,106555300,104771300,96455700,106138500,121018500,137494600,143860800,149079600,144206500,149551484.4,159446234.4,162658718.8,154566781.3,166363734.4,185658171.9,190777421.9,196012718.8,199046109.4,184049765.6,184292328.1
GDP (current US$),NY.GDP.MKTP.CD,Panama,PAN,6433967000,7074675500,8042337700,8782585400,9365289800,9573813700,9197503300,10058854400,11019557700,11660704800,11966497000,12252906300,12800851300,13603456000,15100203400,16623906700,18659721500,21717433800,25721328000,27791215500,30231009500
GDP (current US$),NY.GDP.MKTP.CD,Papua New Guinea,PNG,3219729083,3787394958,4377980510,4974550286,5502786070,4636057476,5155311077,4936615299,3789443015,3477038204,3521339699,3081024212,2999511040,3536411824,3927157867,4865892972,8354911041,9545028944,11670892801,11619456449,14250786675
GDP (current US$),NY.GDP.MKTP.CD,Paraguay,PRY,5812114523,6984367763,7157424031,7249533620,7870982005,9062131475,9788391781,9965225678,9260481572,8837070236,8855705140,8495806432,7196260657,7691367471,9624440836,10737500188,13429430050,17856393235,24615267664,22355151162,27260886405
GDP (current US$),NY.GDP.MKTP.CD,Peru,PER,26410386963,34341465998,35966302303,34832077221,44882079767,53312793687,55252414130,58147522523,55501467877,50187324568,51744749133,52030158775,54777553515,58731030122,66768703498,76060606061,88643193062,102170981144,120550599815,120822986521,147527631521
GDP (current US$),NY.GDP.MKTP.CD,Philippines,PHL,50508286642,51784144943,60422328242,62036529147,73159336915,84644328727,94648084429,94106317565,74492416330,85640171045,83669788377,78921234458,84307345888,87039092974,95001999685,107419977318,127652926368,155980408673,181624626327,175974755881,208368893151
GDP (current US$),NY.GDP.MKTP.CD,Poland,POL,65977748211,85500935935,94337050693,96043157273,110803635288,142838527115,160813026223,159893964917,175282269667,170704452715,172953527033,191823200371,199694463256,218561225998,256268656145,306999913151,345897630736,429715132138,535612030672,440891472247,478111630684
GDP (current US$),NY.GDP.MKTP.CD,Portugal,PRT,78713860217,89233599278,107592098307,95009751901,99688641304,118122007430,122630089680,117016535163,123946327916,127470385557,118605192877,121604107165,134795565549,165226175537,189382122532,197253876705,208756449276,240496147317,263416394624,244667762836,238443864993
GDP (current US$),NY.GDP.MKTP.CD,Puerto Rico (US),PRI,30603919000,32287031000,34630430000,36922456000,39690630000,42647331000,45340835000,48187039000,54086400000,57841000000,61701800000,69208400000,71623500000,74827400000,80322313000,83914521300,87276164400,89524131600,93639300000,96385600000,98381300000
GDP (current US$),NY.GDP.MKTP.CD,Qatar,QAT,7360439560,6883516484,7646153846,7156593407,7374450549,8137912088,9059340659,11297802198,10255494505,12393131868,17759890110,17538461538,19363736264,23533791209,31734065934,44530494505,60882142857,79711813187,115269780220,97798351648,125122252747
GDP (current US$),NY.GDP.MKTP.CD,Romania,ROU,38247882300,28850634900,25121666667,26361160450,30072805104,37430162103,36937074278,35575214078,41696091974,35953156754,37253739511,40395116581,46065502703,57806384143,74973656852,98454380120,122023735993,174588782939,214315932061,174110532659,170064350672
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,517014446228,517962962963,460290556901,435083713851,395077301248,395537185735,391724890744,404928954192,270955486862,195907128351,259710142197,306602070621,345470494418,430347420185,591016690732,764015973481,989932071353,1299703478482,1660848058303,1222645900056,1524916715224
GDP (current US$),NY.GDP.MKTP.CD,Rwanda,RWA,2550185679,1911600237,2029026962,1971525712,753636370.5,1293535193,1382334879,1851558197,1989343546,2157108263,2068836754,1966600715,1966003468,2138237279,2376496067,2933819766,3274207945,4017977507,5120655375,5603399015,6052276078
GDP (current US$),NY.GDP.MKTP.CD,Samoa,WSM,125766269.8,125597205.4,132303041.4,133122897.2,221098106.5,224865731.4,249907868.8,285475591.9,269485244.2,255408060.3,258856139.8,266299591.5,281790134.2,333426188.4,407747565.1,476801793.2,499923757.8,573548459.8,641346191.7,628006115.4,680260907.2
GDP (current US$),NY.GDP.MKTP.CD,San Marino,SMR,..,..,..,..,..,..,..,976606910.6,1048316226,1109473282,1007661291,1059529731,1148872076,1462590387,1715341295,1786513631,1909765811,2188653429,2403214436,2064277984,1881191950
GDP (current US$),NY.GDP.MKTP.CD,Sao Tome and Principe,STP,119297932.8,107484142.7,94861780.62,125742228.8,131338414.6,103695236.8,135188165.7,91920274.24,72285403.84,77302211.92,76198394.82,75951133.38,85171073.88,102085769.1,114582283.9,136450662.4,142775104.1,149146918.9,188021165,200668065,190021192.5
GDP (current US$),NY.GDP.MKTP.CD,Saudi Arabia,SAU,117630173565,132223230975,137087850467,132967957276,135174899866,143343124166,158662483311,165963684913,146775466667,161717066667,189514933333,184137600000,189605866667,215807733333,258742133333,328459608764,376900133511,415964509673,519796800000,429097866667,528207466667
GDP (current US$),NY.GDP.MKTP.CD,Senegal,SEN,7390967360,7255210470,7769817840,7367986241,5034588196,6326342633,6559712166,6041478726,6505607909,6592834933,6013185004,6507824829,7006402320,8768721563,10076816667,11009033438,11697918243,13994218413,16853989628,16145867495,16121315909
GDP (current US$),NY.GDP.MKTP.CD,Serbia,SRB,..,..,..,..,..,17921892655,23277430168,27153408995,21004077441,20878694851,7326373882,13599378662,17930583571,23593044418,26845632342,28334256181,33298057362,44888028946,54220641202,46955984410,43536629233
GDP (current US$),NY.GDP.MKTP.CD,Seychelles,SYC,392163560.9,398307169.9,461409398.9,504230620.6,517570058.2,540733047.7,535250347.1,598966982.4,647287375.8,662838614.9,654212394.3,662064155.9,742134837.5,750847230.1,893012218.2,977899381.8,1081441283,1077308814,979597394.3,850901620.4,981616542.3
GDP (current US$),NY.GDP.MKTP.CD,Sierra Leone,SLE,649644097.6,779981987.1,679940813.9,768867883,911853802.4,870740291.5,941709422.5,850232760,672368187.1,669386624,635866403.8,1681473894,1933863911,2142618046,2237350687,2545275313,3263697467,3632957611,4157895298,3953403098,4262805967
GDP (current US$),NY.GDP.MKTP.CD,Singapore,SGP,36144336769,45466164978,52131320033,60603815716,73688724431,87812540788,96293086513,100123787215,85728207782,86286849755,96076539926,89793790670,92538372870,97646401096,115033593101,127807848728,148627286361,180941701358,193617323539,194150283772,239807980591
GDP (current US$),NY.GDP.MKTP.CD,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,854972067,892290502.8
GDP (current US$),NY.GDP.MKTP.CD,Slovak Republic,SVK,17068924602,11952983608,12932972789,13991963247,16187735322,20306095054,21864845214,22026728498,22911708405,20813421086,20626538612,21377597035,24768142566,33761723946,42960730480,48823790951,57111148619,77019443089,96685492864,89342984698,91112160801
GDP (current US$),NY.GDP.MKTP.CD,Slovenia,SVN,19832029087,14454495059,14277261541,14449298372,16400767070,21367422159,21470699363,20726878752,22058635314,22609669084,20159190702,20668868707,23214593516,29360575032,34156553313,35947936824,39260368837,47880266543,55509332322,49975540955,47793117241
GDP (current US$),NY.GDP.MKTP.CD,Solomon Islands,SLB,214877666.8,227540473.3,269034595.8,300746361.1,402837005.3,469443201.5,510586430.2,526554006,457579840.2,488024514.4,419842674.2,409508553,346406738.9,417666638.6,468000121.3,552881356.7,617257457.8,695291218,776335523.5,805557289.5,898128551.3
GDP (current US$),NY.GDP.MKTP.CD,"Somalia, Fed. Rep.",SOM,1031282081,717974929.8,709297578.5,1260132956,1481205098,1534756135,1792234297,2191749014,2962047564,3045751528,3412797450,2252847465,2192684135,2836724352,3859592813,4683246454,5026743282,5430713729,5913620293,2948594552,2687807004
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,126048140142,135203698238,146956150987,147194747566,153512712382,171735933897,163234925381,168978057328,152982984557,151516957079,151752757215,135429905923,129087556612,197018965309,255806908595,288867217197,303858675364,333077117254,316131258616,329754060647,417363822802
GDP (current US$),NY.GDP.MKTP.CD,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14586253383,12231264525,14602072411
GDP (current US$),NY.GDP.MKTP.CD,Spain,ESP,536175326477,576753902322,630465353486,524700572624,530183651720,614170002669,642251412058,589739772727,618731484575,634394904387,598102854756,627798682379,708938227244,907963217058,1069829382515,1154667551776,1261846683275,1476746276855,1636115447613,1496587590848,1427989078917
GDP (current US$),NY.GDP.MKTP.CD,Sri Lanka,LKA,8032551173,9000362582,9703011636,10338679636,11717604209,13029697561,13897738375,15091913884,15760736956,15711933513,16595882819,15749753805,16536535647,18881765437,20662525941,24405791045,28267410543,32350238760,40713826215,42066224093,58636049581
GDP (current US$),NY.GDP.MKTP.CD,St. Kitts and Nevis,KNA,217259259.3,220540740.7,242137037,263755555.6,295159259.3,313485185.2,333944444.4,374641308,383257331.4,406595484.4,421695769.8,458643829,481077373.7,469869869.9,506900000,547203703.7,644414814.8,689285185.2,777692592.6,774274074.1,778718518.5
GDP (current US$),NY.GDP.MKTP.CD,St. Lucia,LCA,579629629.6,613703703.7,674074074.1,684814814.8,713703703.7,762962963,788888888.9,805925925.9,877407407.4,921851851.9,932592592.6,892592592.6,900000000,987407407.4,1066666667,1135555556,1268319185,1336088815,1437731111,1401507889,1482385185
GDP (current US$),NY.GDP.MKTP.CD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,St. Vincent and the Grenadines,VCT,240366666.7,254829629.6,277955555.6,286307407.4,289437037,316007407.4,331488888.9,347770370.4,373618518.5,390718518.5,427946037,462072333.3,487763851.9,509090888.9,549900185.2,579948925.9,643501148.1,713596666.7,732663259.3,714300259.3,720447888.9
GDP (current US$),NY.GDP.MKTP.CD,Sudan,SDN,33641222222,44171194366,7031933492,8881005436,12793794737,13830363900,9018300725,11681175864,11250221537,10682028340,12257299147,15716361792,18137128388,21355298460,26646007251,35182711988,45263831634,59440139775,64833083257,51621044077,58962978034
GDP (current US$),NY.GDP.MKTP.CD,Suriname,SUR,388400000,448100000,404600000,428764705.9,605492537.3,691590497.7,861372806.2,926422500,1110850000,886290697.7,947671969.7,834279357.8,1093574468,1274190311,1484092538,1793410397,2626380435,2936612022,3532969035,3875409836,4368370998
GDP (current US$),NY.GDP.MKTP.CD,Sweden,SWE,261466577009,273831464572,283908914454,212644602616,228699066874,267050453507,291949597375,268249616891,270887306759,274318357862,262903560280,242497797485,267371907447,334072443516,384545442175,391688455929,422528394459,490047789548,514614100833,434311714442,492750897239
GDP (current US$),NY.GDP.MKTP.CD,Switzerland,CHE,269768238555,272953645746,284139428246,276339744180,305916331798,358152520085,345373647249,298868250534,306907741068,301911268140,282327351966,290160142214,313930961761,366563952625,409012909530,424511048024,448364681767,498993845385,574703945157,563659557945,609999593542
GDP (current US$),NY.GDP.MKTP.CD,Syrian Arab Republic,SYR,12308624418,12981833333,13253565861,13695962055,10122020000,11396706587,13789560878,14505233463,15200846154,15873875969,18937031610,20078599626,20786986580,21828144686,25086910448,28858937499,33751812959,40465331020,52557913397,54111721044,61390833273
GDP (current US$),NY.GDP.MKTP.CD,Tajikistan,TJK,2629395066,2536585366,1908554572,1646623195,1522001206,1231561860,1043654822,921518032.9,1320199582,1086612290,860541842.3,1080772551,1221106220,1555318261,2076176869,2312352021,2830213849,3719524541,5161299725,4979472364,5642221099
GDP (current US$),NY.GDP.MKTP.CD,Tanzania,TZA,6184384225,7197768159,6681997469,6182872708,6550480484,7631431840,9433528150,11158197942,12172790056,12704334196,13371767082,13563990022,14129651896,15211487709,16673062473,18395383647,18619859795,21860434823,27947821398,29400573554,32012892919
GDP (current US$),NY.GDP.MKTP.CD,Thailand,THA,85343190719,98234714971,111452746518,128889262951,146683778959,169278916593,183035237429,150180456566,113675596788,126669211779,126392224254,120296476180,134300904400,152280615246,172895685155,189318408469,221758296022,262942621455,291382982431,281710630187,341104766329
GDP (current US$),NY.GDP.MKTP.CD,Timor-Leste,TLS,128210142,147713000,187891500,216914400,239040500,262819900,306956900,319972700,325729800,225357600,366924300,477359300,469455500,490439100,440772000,462268000,453792400,542795400,648523600,726937800,881909300
GDP (current US$),NY.GDP.MKTP.CD,Togo,TGO,2299665506,2262767860,2390796916,1741944426,1387662121,1849110468,2069506014,2116818623,2241650112,2226577204,2106848752,2093498674,2410199032,2987984051,3191561509,3221910408,3320907722,3759962853,4578847113,4721888275,4746386893
GDP (current US$),NY.GDP.MKTP.CD,Tonga,TON,113563821.6,132201141.4,137066290.6,138489884.4,195990986.2,208871665.7,222100576.3,214991452.3,191504892.8,199208717.5,204848487.8,181117230.4,182764280.8,202246591.2,230678011.4,261823805.4,292232703.3,298519623.3,344438844.3,312415028.4,366887375
GDP (current US$),NY.GDP.MKTP.CD,Trinidad and Tobago,TTO,5068000000,5307905882,5439552941,4669491134,4947181646,5329217747,5759570336,5737771523,6043686654,6808982521,8154342116,8824849191,9008298229,11305459802,13280291990,15982389018,18369361094,21641620050,27871587350,19172165226,22157920592
GDP (current US$),NY.GDP.MKTP.CD,Tunisia,TUN,12290568182,13074782609,15496708060,14608335608,15633174304,18030876599,19587161807,20746210354,21802893587,22943202175,21473528161,22065832449,23141616605,27453902261,31183885241,32272186695,34376664601,38915353867,44859439902,43455740497,46206091938
GDP (current US$),NY.GDP.MKTP.CD,Turkiye,TUR,150655500192,151034731544,159104772992,180415757852,130650447499,234699627004,250366965174,263817553748,276035372655,256673939248,274748463179,202195080239,240778008474,315392899922,410156784496,508314210213,559668118237,685228481017,775415944333,653894449921,782545664268
GDP (current US$),NY.GDP.MKTP.CD,Turkmenistan,TKM,3189539641,3208098919,3200539816,3179225949,2561118608,2482228440,2378759975,2450350625,2605689134,2450564100,2904663311,3534772732,4462029109,5977440583,6838351088,8103901996,10276674365,12664165103,19271523179,20214385965,22583157895
GDP (current US$),NY.GDP.MKTP.CD,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,358744800,366707900,409753600,485598800,578645800,721891500,773490000,862684000,703176000,686788000
GDP (current US$),NY.GDP.MKTP.CD,Tuvalu,TUV,9542900.901,10127313.91,10535028.14,10414399.96,11772610.66,11922614.2,13338597.33,13734210.1,13795146.21,14800503.26,14881202.58,14139705.25,16639799.89,19584879.57,22878877.91,22846519.17,24274966.43,28547819.71,31602915,27851666.17,32425361.81
GDP (current US$),NY.GDP.MKTP.CD,Uganda,UGA,4304399310,3321729160,2857457762,3220439044,3990430447,5755818842,6044585327,6269333313,6584815847,5998563258,6193246837,5840503869,6178563591,6606884275,7939487548,9239221763,9977647683,11902564495,14440404132,25127805567,26673441431
GDP (current US$),NY.GDP.MKTP.CD,Ukraine,UKR,81393558423,77350733982,73945908384,65648559903,52549580265,48213856469,44558831005,50151531592,41882523345,31580639554,32375083935,39309580983,43956163612,52010355753,67220154164,89238865119,111884752475,148733861386,188110390660,121552153444,141209170427
GDP (current US$),NY.GDP.MKTP.CD,United Arab Emirates,ARE,50701374187,51552058250,54239188746,55625269485,59305111228,65743604966,73571217377,78838886862,75674384205,84445399335,104337463730,103311631797,109816091079,124346476180,147824249958,180617467954,222116532963,257916148767,315474615741,253547358747,307736348527
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,1093169389205,1142797178131,1179659529660,1061388722256,1140489745944,1349094208616,1425287051482,1569317288802,1660821464061,1693458987219,1671597821153,1656171009069,1790536570743,2061227755102,2429774807763,2551361818182,2719558417663,3104699879952,2945251838235,2429358155476,2496740681057
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,5963144000000,6158129000000,6520327000000,6858559000000,7287236000000,7639749000000,8073122000000,8577552000000,9062817000000,9631172000000,10250952000000,10581929000000,10929108000000,11456450000000,12217196000000,13039197000000,13815583000000,14474228000000,14769862000000,14478067000000,15048971000000
GDP (current US$),NY.GDP.MKTP.CD,Uruguay,URY,9298807850,11206176651,12878148791,15002136971,17474588896,19297663097,20515458114,23969739234,25385886978,23983945191,22823270892,20898761742,13606515723,12045638352,13686329890,17362857684,19741420740,23797773024,31119602539,32708319078,41950361212
GDP (current US$),NY.GDP.MKTP.CD,Uzbekistan,UZB,13362340338,13800167712,12953801760,13099920056,12899074922,13350461265,13948892216,14744603774,14988971211,17078465982,13760513969,11401421329,9687788513,10134453435,12030023548,14307509839,17330833853,22311393928,29549438884,33689223673,55544226553
GDP (current US$),NY.GDP.MKTP.CD,Vanuatu,VUT,168879207.2,201334169.1,209088824.6,200491853.2,233701301.5,249333250.1,261370044.5,272771209.1,262293410.7,268006972.7,272014627.8,257926881.7,262596535.5,314471413,364996869.1,394962433,439358586.5,516392922.5,590748429.4,592622319.1,670712979.7
GDP (current US$),NY.GDP.MKTP.CD,"Venezuela, RB",VEN,48606952195,53453444787,60416519620,60037460783,58418666667,77389487770,70543211119,85837678560,91336763255,97972842462,117146466003,122911036747,92893587734,83620628582,112451400425,145513489652,183477522124,230364012576,315953388511,329787628928,393192354511
GDP (current US$),NY.GDP.MKTP.CD,Viet Nam,VNM,6471740806,9613369520,9866990236,13180953598,16286433533,20736164459,24657470575,26843700442,27209602050,28683659007,31172518403,32685198809,35064105501,39552513232,45427854693,57633255738,66371664817,77414425532,99130304099,106014659565,147201173197
GDP (current US$),NY.GDP.MKTP.CD,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,3262000000,3443000000,3797000000,4428000000,4484000000,4784000000,4244000000,4201000000,4324000000
